Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Money Raised at IPO (in USD),IPO Status,Growth Category,IPO Date,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Total funding amount / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),ind_update,narrowed_industry,success
Blend,https://www.crunchbase.com/organization/blend-labs,$50M to $100M,"Financial Services, FinTech, Lending, Software",87,"Blend is a digital lending platform that facilitates the entire lending process, from application to underwriting to closing.",Active,2012,For Profit,2021,http://www.twitter.com/blendlabsinc,197,Exited Unicorn,,https://www.linkedin.com/company/blend-,,https://www.facebook.com/BlendLabs,,,press@blendlabs.com,,"San Francisco, California, United States",(650) 550-4810,"Blend is a digital lending platform that supports and simplifies applications for mortgages, consumer loans, and deposit accounts.The company helps lenders streamline the customer journey for any banking product from application to close. Its Digital Lending Platform is utilized by Wells Fargo, U.S. Bank, and over 285 other leading financial institutions to acquire more customers, increase productivity, and deepen customer relationships. The company enables customers to process more than $4 billion in mortgages and consumer loans per day, helping millions of consumers get into homes and gain access to the capital they need to lead better lives. Erin Collard, Eugene Marinelli, Nima Ghamsari, and Rosco Hill headquartered the company in San Francisco, California in 2012.",,https://www.blend.com,"Financial Services, Software",,Private Equity,3001,IPO,4,2024,Private Equity,11,3952670000,150000000,150000000,815000000,815000000,Made Acquisitions,8,,,1,,360000000,Public,,2021,4145630244,75000000,9,9,-3,26.35113333,26.35113333,4.84990184,4.84990184,2.4,2.4,0.441717791,271576.1413,49983.33889,16666666.67,90555555.56,1.222222222,"Lending, Software, Financial Services",Financial Services & Fintech,Yes
Remitly,https://www.crunchbase.com/organization/remitly,$500M to $1B,"Financial Services, FinTech, Payments",274,Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,Active,2011,For Profit,2021,http://twitter.com/remitly,237,Exited Unicorn,,http://www.linkedin.com/company/remitly,Yes,http://www.facebook.com/Remitly,,,service@remitly.com,,"Seattle, Washington, United States",1 844-604-0924,"Remitly is a mobile payment service that enables consumers to conveniently make person-to-person international money transfers from the United States. Its online service is disrupting the $588 billion a year industry by using the latest technology and mobile devices to eliminate unnecessary forms, codes, agents, extra time, and fees tied to the traditional money transfer process. As a licensed money transmitter, Remitly currently operates in 49 states and Washington, D.C., and spends millions of dollars to thousands of customers each month. Remitly is backed by Stripes Group, DFJ, Vulcan Capital, QED, Trilogy Equity Partners, DN Capital, Founders Co-Op, Bezos Expeditions, and TomorrowVentures.",,http://www.remitly.com,"Financial Services, Payments",,Post-IPO Equity,3001,IPO,3,2023,Post-IPO Equity,15,6900000000,6738894,6738894,426738894,526738894,Made Acquisitions,8,,,3,,301000000,Public,Growing,2021,7236842105,750000000,10,10,-2,1023.90689,1023.90689,13.09946935,16.16913784,44.66608319,44.66608319,0.57144062,175521.1243,2245.549484,673889.4,52673889.4,1.5,"Financial Services, FinTech, Payments",Financial Services & Fintech,Yes
Payoneer,https://www.crunchbase.com/organization/payoneer,$500M to $1B,"B2B, Finance, FinTech, Payments",465,Payoneer is a financial technology company that enables small and medium-sized enterprises to transact and thrive.,Active,2005,For Profit,2021,http://twitter.com/payoneer,411,Exited Unicorn,,http://www.linkedin.com/company/payoneer,,http://www.facebook.com/Payoneer,,,community@payoneer.com,,"New York, New York, United States",1 800-251-2521,Payoneer is a financial technology company that enables small and medium-sized enterprises to transact and thrive.,,http://www.payoneer.com,"Financial Services, Other, Payments",,Post-IPO Equity,3001,IPO,3,2021,Post-IPO Equity,15,3300000000,300000000,300000000,570000000,570000000,Made Acquisitions,8,,,3,,563000000,Public,Growing,2021,3461098398,750000000,16,16,0,11,11,5.789473684,5.789473684,1.876666667,1.876666667,0.987719298,189936.6878,99966.67777,18750000,35625000,0.9375,"Payments, Finance, FinTech",Financial Services & Fintech,Yes
MoneyLion,https://www.crunchbase.com/organization/moneylion,$100M to $500M,"Consumer Lending, Credit, Financial Services, FinTech",520,"MoneyLion is a mobile banking platform for borrowing, saving, and investing.",Active,2013,For Profit,2021,https://twitter.com/MoneyLion,191,,1,http://www.linkedin.com/company/moneylion,,http://www.facebook.com/MoneyLionInc,,,support@moneylion.com,,"New York, New York, United States",(888)659-8244,"MoneyLion is empowering the American dream by providing everyone access to better products for borrowing, saving, and investing. MoneyLion uses superior analytics and machine learning-based technology to gain a 360-degree view of its users’ personal finances, enabling uniquely personalized advice and underwriting. With its built-in system of rewards, points, and incentives, MoneyLion encourages good financial behavior and better financial outcomes. MoneyLion is headquartered in New York with offices in San Francisco and Kuala Lumpur, Malaysia. For more information, visit www.moneylion.com or download the app at  https://bnc.lt/E1yh/DNjAQCAwrD.",,http://www.moneylion.com/,"Financial Services, Lending and Investments",,Post-IPO Equity,176,IPO,3,2021,Post-IPO Equity,7,2400000000,250000000,250000000,477499428,477499428,Made Acquisitions,3,,,3,,350000000,Public,Growing,2021,2517162471,300000000,8,8,0,9.6,9.6,5.026184031,5.026184031,1.4,1.4,0.732985171,2713064.932,1420454.545,31250000,59687428.5,0.875,"Financial Services, FinTech, Credit",Financial Services & Fintech,Yes
Bank of America,https://www.crunchbase.com/organization/bank-of-america,$10B+,"Asset Management, Banking, Finance, Financial Services, FinTech",599,"Bank of America is a financial institution that offers credit cards, home loans, and auto loan services.",Active,2007,For Profit,1978,https://www.twitter.com/BankofAmerica,"7,339",Crunchbase Venture Program,91,https://www.linkedin.com/company/bank-of-america,Yes,https://www.facebook.com/BankofAmerica,Investment Bank,15,,"Debt, Early Stage Venture, Late Stage Venture, Private Equity","Charlotte, North Carolina, United States",1 800.432.1000,"Bank of America is a financial institution, serving individual consumers, small- and middle-market businesses, and large corporations with a full range of banking, investing, asset management, and other financial and risk management products and services. They serve approximately 51 million consumer and small business relationships with approximately 5,300 retail banking offices and approximately 16,350 ATMs and award-winning online banking with 30 million active users and more than 13 million mobile users. It offers industry-leading support to approximately 3 million small business owners through a suite of innovative, easy-to-use online products and services. The company serves clients through operations in more than 40 countries. Bank of America is a wealth management company specializing in corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions, and individuals around the world. Bank of America Corporation stock (NYSE: BAC) is a component of the Dow Jones Industrial Average and is listed on the New York Stock Exchange. It was founded in 1998 and is headquartered in Charlotte, North Carolina, United States.",71,https://www.bankofamerica.com,"Financial Services, Lending and Investments",71,Post-IPO Equity,10001,IPO,1,2020,Post-IPO Equity,3,,400000000,400000000,1200000000,1200000000,Made Acquisitions,1,,,9,,,Public,Growing,1978,,10000000000,-29,-29,-42,,,,,,,,119988.0012,39996.0004,,,,"Financial Services, Finance, FinTech",Financial Services & Fintech,Yes
Flywire,https://www.crunchbase.com/organization/flywireco,$100M to $500M,"Financial Services, FinTech, Payments, Service Industry, Software",639,Flywire is a global payments enablement and software company that simplifies complex payments for its clients and their customers.,Active,2011,For Profit,2021,http://twitter.com/Flywire,271,Exited Unicorn,,https://www.linkedin.com/company/flywire,,http://www.facebook.com/Flywire,,,support@flywire.com,,"Boston, Massachusetts, United States",,"Flywire (Nasdaq FLYW) is a global payments enablement and software company. Flywire combines its proprietary global payments network, next-gen payments platform and vertical-specific software to deliver the most important and complex payments for clients and their customers. Flywire leverages its vertical-specific software and payments technology to deeply embed within the existing A R workflows for its clients across the education, healthcare and travel vertical markets, as well as in key B2B industries. Flywire also integrates with leading ERP systems, so organizations can optimize the payment experience for their customers while eliminating operational challenges. Flywire supports 3,700 + clients with diverse payment methods in more than 140 currencies across 240 countries and territories around the world. Flywire is headquartered in Boston, MA, USA with global offices.",,http://www.flywire.com,"Financial Services, Other, Payments, Software",,Post-IPO Equity,3001,IPO,1,2023,Post-IPO Equity,10,,260100000,260100000,583300000,583300000,Made Acquisitions,9,,,8,,,Public,,2021,,300000000,10,10,-2,,,,,,,,194368.5438,86671.10963,26010000,58330000,1,"Payments, Software, Service Industry",Financial Services & Fintech,Yes
Oportun,https://www.crunchbase.com/organization/progreso-financiero,$1B to $10B,"Consumer Lending, Debit Cards, Financial Services, FinTech",890,Oportun is a digital banking platform that offers personal loans and financial services to people with limited credit history.,Active,2005,For Profit,2019,https://twitter.com/Oportun/,96,,,https://www.linkedin.com/company/oportun,,https://www.facebook.com/oportun,,,hello@oportun.com,,"San Carlos, California, United States",866-488-6090,"Oportun (Nasdaq: OPRT) is a digital banking platform that puts its 1.9 million members' financial goals within reach. With intelligent borrowing, savings, budgeting, and spending capabilities, Oportun empowers members with the confidence to build a better financial future. Since inception, Oportun has provided more than $15.5 billion in responsible and affordable credit, saved its members more than $2.3 billion in interest and fees, and helped our members save an average of more than $1,800 annually. For more information, visit Oportun.com.",,https://oportun.com,"Financial Services, Lending and Investments, Payments",,Post-IPO Debt,3001,IPO,2,2023,Private Equity,12,,200000000,90000000,236086897,766086897,Made Acquisitions,4,,,2,,94000000,Public,,2019,,5500000000,14,14,-4,,,,,0.47,1.044444444,0.122701485,255277.2066,66644.45185,14285714.29,54720492.64,0.857142857,"Financial Services, FinTech, Debit Cards",Financial Services & Fintech,Yes
Zip,https://www.crunchbase.com/organization/zipmoney-payments,$500M to $1B,"Finance, Financial Services, FinTech, Payments","1,049",Zip is an online payments technology provider that offers consumers credit options for online shopping.,Active,2013,For Profit,2015,https://twitter.com/zipmoneyau,184,,4,https://www.linkedin.com/company/zip-co-limited,,https://www.facebook.com/ZipAU,,,customercare@zipmoney.com.au,,"Sydney, New South Wales, Australia",61282942345,"Zip is an online payments technology provider that offers consumers credit options for online shopping. The company was founded in 2013 by Larry Diamond, Niamh Mc Enaney, and Peter Gray and is headquartered in 	Sydney, New South Wales, Australia.",4,https://zip.co,"Financial Services, Payments",4,Post-IPO Debt,751,IPO,2,2024,Post-IPO Equity,9,,225000000,91374964,152974965,1118557988,Made Acquisitions,3,,,6,,,Public,,2015,,750000000,2,2,-9,,,,,,,,1489424.751,299600.5326,112500000,559278994,4.5,"Payments, Financial Services, Finance",Financial Services & Fintech,Yes
Blue Owl,https://www.crunchbase.com/organization/blue-owl-e2cf,,"Banking, Consumer Lending, Finance, Financial Services, Lending","1,080",Blue Owl is an alternative asset manager that provides investors access to direct lending and GP capital solutions.,Active,2021,For Profit,2021,,100,,7,https://www.linkedin.com/company/blue-owl-capital/,,,Private Equity Firm,2,inquiry@blueowl.com,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture","New York, New York, United States",888-215-1944,"Blue Owl Capital is an alternative asset manager that provides investors access to direct lending and GP capital solutions strategies through a variety of vehicles. The firm's breadth of offerings and permanent capital base enables it to offer a differentiated, holistic platform of capital solutions to participants throughout the private market ecosystem, including alternative asset managers and private middle market corporations.",11,https://www.blueowl.com/,"Financial Services, Lending and Investments",11,Post-IPO Debt,751,IPO,4,2024,Post-IPO Equity,4,,250000000,1500000000,1500000000,2900000000,Made Acquisitions,,,,7,,275000000,Public,,2021,,,0,0,-3,,,,,1.1,0.183333333,0.094827586,3861517.976,332889.4807,,,,"Lending, Consumer Lending, Financial Services",Financial Services & Fintech,Yes
Alkami Technology,https://www.crunchbase.com/organization/alkami-technology,$10M to $50M,"Banking, Credit, Finance, Financial Services, FinTech, SaaS, Software","1,124",Alkami Technology provides cloud-based digital banking solutions for credit unions and banks.,Active,2009,For Profit,2021,http://twitter.com/alkamitech,68,,,https://www.linkedin.com/company/alkamitech/,,https://www.facebook.com/AlkamiTechnology/,,,marketing@alkamitech.com,,"Plano, Texas, United States",+1 877 725 5264,"Alkami Technology provides cloud-based digital banking solutions for credit unions and banks. Its platform provides financial institutions a complete digital banking solution ready to facilitate both retail and business user onboarding, engagement, and account servicing. It enables clients to enhance the platform with upgrades and can tailor their experience with additional Alkami products as well as third-party solutions. The company was founded in 2009 and is headquartered in Plano, Texas.",,http://www.alkami.com/,"Financial Services, Lending and Investments, Software",,Venture - Series Unknown,751,IPO,3,2020,Venture - Series Unknown,11,,140000000,140000000,385182200,385182200,Made Acquisitions,5,,,3,,,Public,Growing,2021,,30000000,12,12,1,,,,,,,,512892.4101,186418.1092,11666666.67,32098516.67,0.916666667,"Credit, Banking, Software",Financial Services & Fintech,Yes
