Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numeric Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,,Organization Name.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number of Articles.1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Number of Investments.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Number of Exits (IPO).1,Unnamed: 26,Number of Portfolio Organizations.1,Unnamed: 28,Number of Exits.1,Unnamed: 30,Number of Employees.1,Unnamed: 32,Number of Founders.1,Unnamed: 34,Unnamed: 35,Number of Funding Rounds.1,Valuation at IPO (in USD).1,Last Funding Amount (in USD).1,Last Equity Funding Amount (in USD).1,Total Equity Funding Amount (in USD).1,Total Funding Amount (in USD).1,Unnamed: 42,Number of Lead Investors.1,Unnamed: 44,Unnamed: 45,Number of Acquisitions.1,Unnamed: 47,Unnamed: 48,Unnamed: 49,Money Raised at IPO (in USD).1,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date.1,Exit Date - Founding Date.1,IPO Date - Last_Funding_Date.1,Valuation_at_IPO / Last_Funding.1,Valuation_at_IPO_per_Last_Equity_Funding.1,Valuation_at_IPO / Total_Funding.1,Valuation_at_IPO / Total_Equity_Funding.1,Money_Raised_at_IPO / Last_Funding.1,Money_Raised_at_IPO / Last_Equity_Funding.1,Money_Raised_at_IPO / Total_Funding.1,Money_Raised_at_IPO / Total_Equity_Funding.1,Total funding amount / number of employees.1,Numeric revenue range / number of employees.1,Last funding amount / number of employees.1,Last funding amount / ( ipo - founded date ).1,Total funding amount / (ipo - founded date).1,Number of funding rounds / (ipo - founde date).1,IPO - last learship hiring date,Numeric revenue amount / total number of employees * (IPO - founded date).1,success
Omni,https://www.crunchbase.com/organization/omni,Less than $1M,"Apps, Marketplace, Mobile",97,Omni is a marketplace that provides access to the things needed by nayone through its rentals platform.,Closed,2014,For Profit,,https://twitter.com/Omni,204,,,https://www.linkedin.com/company/omnirentals/,,https://www.facebook.com/OmniRentals/,,,hello@omni.co,,,"San Francisco, California, United States",(415) 569-3882,"Omni provides access to the things you need through its rentals platform. By partnering with local businesses, Omni is bringing rentals to communities so everyone can have access to more items — from bikes and surfboards to camping equipment and air purifiers. Customers can reserve items from local businesses and pick up them instantly, or book rentals in advance. The company is headquartered in San Francisco, California, United States.",,https://omni.co,,"Apps, Commerce and Shopping, Mobile, Software",,Venture - Series Unknown,176,,3,2024,Venture - Series Unknown,5,,20000000,20000000,55000000,55250000,,2,,,,,,,,Private,,,2021,,500000,,,,,,,,,,,,313920.4545,2840.909091,113636.3636,,,,,"Apps, Marketplace, Mobile",Uncategorized,,Hims & Hers,,,,,,,,,,,163,,,,,,,,,,1,,,,,,1,,,,376,,4,,,8,1600000000,75000000,75000000,232000000,233200000,,3,,,2,,,,204500000,,,,,,1678108314,750000000,4,4,0,21.33333333,21.33333333,6.861063465,6.896551724,2.726666667,2.726666667,0.876929674,0.881465517,620212.766,1994680.851,199468.0851,18750000,58300000,2,,498670.2128,Yes
CashStar,https://www.crunchbase.com/organization/cashstar,$10M to $50M,"E-Commerce, FinTech, Internet, Loyalty Programs, Payments",182,CashStar is a provider of prepaid commerce solutions for the world's top retailers and restaurants.,Closed,2007,For Profit,2017,http://twitter.com/cashstar,156,,,https://www.linkedin.com/pulse/minecraft-12073-apk-latest-version-download-android-aisar-ahmad-wsscf/,,http://www.facebook.com/CashStarInc,,,India@famapr.com,,,"Portland, Maine, United States",(855) 741-1209,"CashStar is the industry-leading provider of prepaid commerce solutions at the forefront of mobile payments, digital gifting and branded currency. The CashStar Commerce platform is used by merchants to increase revenue, reduce costs and optimize customer experiences across channels, and the CashStar Exchange platform is used by gift card distributors and loyalty programs to procure and deliver gift cards from hundreds of leading brands. CashStar clients include top brands like Sephora, Starbucks, The Home Depot, Uber and Walmart and distribution partners such as American Express Membership Rewards, Great Lakes Scrip, Maritz Motivation Solutions, MyCokeRewards, Raise.com and United MileagePlusX.",,https://apkalan.blogspot.com/2024/04/exploring-alternative-app-download.html,,"Commerce and Shopping, Financial Services, Internet Services, Payments, Sales and Marketing",,Series D,31,M&A,2,2015,Series D,7,,15000000,15000000,44000000,44000000,Was Acquired,3,BlackHawk Network,https://www.crunchbase.com/organization/blackhawk-network,,Acquisition,175000000,2017,,Private,,,,,30000000,,10,,,,,,,,,,1419354.839,967741.9355,483870.9677,,,,,"E-Commerce, Payments, Loyalty Programs",Consumer Goods & Retail,,Care,,,,,,,,,,,122,,,,,,,,,,1,,,,1,,1,,1,,751,,4,,,7,554000000,46350000,46350000,156850000,156850000,,3,,,8,,,,91000000,,,,,,643641740.6,300000000,8,8,-2,11.95253506,11.95253506,3.532036978,3.532036978,1.963322546,1.963322546,0.580172139,0.580172139,208854.8602,399467.3768,61717.70972,5793750,19606250,0.875,,49933.4221,Yes
Upsie,https://www.crunchbase.com/organization/upsie,$10M to $50M,"Apps, Insurance, Mobile, Mobile Apps, Software",365,Upsie is a mobile app that provides warranties for electronic devices and appliances.,Closed,2015,For Profit,2024,https://www.twitter.com/upsiehq,28,,,https://www.linkedin.com/company/4816383,,https://www.facebook.com/upsieapp,,,cbethea@upsie.com,,,"Saint Paul, Minnesota, United States",+1 (612) 294-2754,"Upsie is a mobile app that provides an easier and better way to protect your stuff. You get the same warranties and coverage offered by other companies but at an affordable price. No annoying sales pitch. No big price markups. All warranty pricing and coverage options are right there in the app. Even your receipts are photographed and stored! You can purchase coverage, start a claim or even scan a barcode while shopping to see what warranties are available for that item.",,http://www.upsie.com,,"Apps, Financial Services, Mobile, Software",,Series A,31,M&A,1,2021,Series A,7,,18200000,18200000,26380000,26380000,Was Acquired,1,AKKO,https://www.crunchbase.com/organization/akko,,Acquisition,,2024,,Private,,,,,30000000,,9,,,,,,,,,,850967.7419,967741.9355,587096.7742,,,,,"Mobile, Mobile Apps, Software",Technology & Software,,Peloton,,,,,,,,,,,"2,360",,,,,,,,,,1,,,,,,1,,,,3001,,5,,,12,8100000000,300000000,,994400000,2169707000,,7,,,6,,,,1160000000,,,,,,8711380524,5500000000,7,7,-5,27,,3.733222965,8.145615447,3.866666667,,0.5346344,1.166532582,722994.6684,1832722.426,99966.67777,42857142.86,309958142.9,1.714285714,,261817.4894,Yes
LogicMonitor,https://www.crunchbase.com/organization/logicmonitor,$10M to $50M,"Analytics, Application Performance Management, Cloud Infrastructure, DevOps, Information Technology, IT Infrastructure, IT Management, SaaS",691,"LogicMonitor provides IT observability and monitoring for physical, virtual, and cloud-based IT infrastructures.",Closed,2007,For Profit,2018,http://twitter.com/LogicMonitor,106,,,https://www.linkedin.com/company/logicmonitor,,http://www.facebook.com/LogicMonitor,,,press@logicmonitor.com,,,"Santa Barbara, California, United States",805-617-3884,"LogicMonitor®’s SaaS-based unified observability platform, LM Envision, helps ITOps, CloudOps, DevOps, MSPs, and business leaders gain operational visibility into and predictability across the technologies that modern organizations depend on to deliver extraordinary employee and customer experiences. LM Envision seamlessly enables observability across infrastructure, networks, clouds, containers, and applications, empowering companies to focus less on troubleshooting and more on innovation. For more information, visit www.logicmonitor.com or watch this short video: https://www.youtube.com/watch?v=sWmrauqmno0.",,http://www.logicmonitor.com,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software",,Debt Financing,3001,M&A,2,2021,Private Equity,6,,,130000000,142949998,142949998,"Made Acquisitions, Was Acquired",1,Vista Equity Partners,https://www.crunchbase.com/organization/vista-equity-partners,4,Leveraged Buyout,,2018,,Private,,,2022,,30000000,,11,,,,,,,,,,47634.12129,9996.667777,,,,,,"IT Management, IT Infrastructure, Cloud Infrastructure",Technology & Software,,Babylon,,,,,,,,,,,218,,,,,,,,,,1,,,,1,,1,,1,,3001,,1,,,9,4200000000,34500000,230000000,861090847,1165590847,,4,,,3,,,,460000000,,,,,,4405034325,5500000000,8,8,-2,121.7391304,18.26086957,3.603322736,4.877534135,13.33333333,2,0.394649633,0.53420612,388400.8154,1832722.426,11496.16794,4312500,145698855.9,1.125,,229090.3032,Yes
Divvy,https://www.crunchbase.com/organization/divvy-7ad9,$50M to $100M,"Financial Services, FinTech, Payments, Productivity Tools, SaaS, Software","1,020","Divvy is a platform that helps businesses manage payments and subscriptions, build strategic budgets, and eliminate expense reports.",Closed,2016,For Profit,2021,https://twitter.com/Divvy_HQ,86,Exited Unicorn,,https://www.linkedin.com/company/divvypay,,https://www.facebook.com/divvypay,,,help@getdivvy.com,,,"Draper, Utah, United States",+1 385 352 0374,"Divvy software gives users complete control and real-time visibility into company spending while eliminating the hassle of expense reports. Divvy is a secure financial platform for businesses to manage payments and subscriptions, build strategic budgets, and eliminate expense reports. By integrating real-time tracking for every business transaction, Divvy provides organizations with instant insight into their spend. With Divvy, you can make informed cash flow decisions, curb losses before they happen, and never have to save a receipt again. The company was founded in 2016 and is based in Lehi, Utah.",,https://getdivvy.com,,"Financial Services, Payments, Software",,Series D,376,M&A,2,2021,Series D,5,,165000000,165000000,417500000,417500000,Was Acquired,4,BILL,https://www.crunchbase.com/organization/bill-com,,Acquisition,2500000000,2021,,Private,,,,,75000000,,5,,,,,,,,,,1110372.34,199468.0851,438829.7872,,,,,"Payments, Software, SaaS",Financial Services & Fintech,,23andMe,,,,,,,,,,,"2,031",,,,,,,,,,2,,,,1,,2,,1,,751,,3,,,14,3500000000,250000000,250000000,1115473609,1118573609,,7,,,2,,,,592000000,,,,,,3670861937,300000000,15,15,0,14,14,3.128984961,3.137680687,2.368,2.368,0.529245456,0.530716276,1489445.551,399467.3768,332889.4807,16666666.67,74571573.93,0.933333333,,26631.15846,Yes
Postmates,https://www.crunchbase.com/organization/postmates,$100M to $500M,"Delivery, Food Delivery, Logistics, Restaurants, Same Day Delivery","1,097",Postmates is an on-demand food delivery platform that gives customers access to restaurants and retailers.,Closed,2011,For Profit,2020,https://twitter.com/postmates,"1,899",Exited Unicorn,1,https://www.linkedin.com/company/postmates,,https://www.facebook.com/Postmates,,1,help@postmates.com,,1,"San Francisco, California, United States",,"Postmates is an on-demand food delivery platform that gives customers access to restaurants and retailers. The platform gives customers access to the most selection of merchants in the US with more than 600,000 restaurants and retailers available for delivery and pickup, many of which are exclusive to Postmates. The market leader in Los Angeles and markets across the southwest, Postmates covers 80% of US households, across all 50 states. Customers can get free delivery on all merchants by joining Postmates Unlimited, the industry's first subscription service.",1,https://postmates.com,1,"Administrative Services, Food and Beverage, Transportation",1,Private Equity,3001,M&A,3,2019,Private Equity,13,,225000000,225000000,762950000,762950000,"Made Acquisitions, Was Acquired",8,Uber,https://www.crunchbase.com/organization/uber,3,Acquisition,2650000000,2020,,Private,,,,,300000000,,9,,,,,,,,,,254231.9227,99966.67777,74975.00833,,,,,"Food Delivery, Restaurants, Delivery",Consumer Goods & Retail,,Talkspace,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,376,,3,,,12,1400000000,300000000,300000000,406700000,413700000,,6,,,1,,,,414000000,,,,,,1468344775,300000000,9,9,0,4.666666667,4.666666667,3.384094755,3.442340792,1.38,1.38,1.000725163,1.017949348,1100265.957,797872.3404,797872.3404,33333333.33,45966666.67,1.333333333,,88652.48227,Yes
MakeMyTrip.com,https://www.crunchbase.com/organization/makemytrip-com,$100M to $500M,"Internet, Transportation, Travel","1,441","MakeMyTrip.com is an online travel company providing holiday packages, travel guides, and booking services for flights, hotels and buses.",Closed,2000,For Profit,2010,http://twitter.com/makemytrip,449,,5,http://www.linkedin.com/company/makemytrip.com,,http://www.facebook.com/Make-My-Trip/123837174386562,,1,marketing@makemytrip.com,,7,"Gurgaon, Haryana, India",1.19E+11,"MakeMyTrip (India) Pvt., Ltd. operates as an online travel company in India. It provides booking services for flights, hotels, and buses; and holiday packages and travel guides. The company was founded in 2000 and is headquartered in Gurgaon, India with additional offices in New Delhi, Mumbai, Nagpur, Nashik, Panjim, Ahmedabad, Aurangabad, Bangalore, Kolkata, Surat, Vadodara, Chennai, Ludhiana, Indore, Jaipur, Coimbatore, Pune, Chandigarh, Lucknow, Hyderabad, and Guwahati, India; New York, New York; and Sydney, Australia.",3,https://www.makemytrip.com,7,"Internet Services, Transportation, Travel and Tourism",3,Post-IPO Debt,3001,M&A,4,2021,Post-IPO Equity,6,850000000,200000000,330000000,548000000,748000000,"Made Acquisitions, Was Acquired",4,Busportal,https://www.crunchbase.com/organization/busportal,6,Acquisition,,2019,70000000,Public,2020,,2020,2010,300000000,10,10,-11,4.25,2.575757576,1.136363636,1.551094891,0.35,0.212121212,0.093582888,0.127737226,249250.2499,99966.67777,66644.45185,20000000,74800000,0.6,9996.667777,"Internet, Transportation, Travel",Transportation & Automotive,,GoodRx,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,,,751,,3,,,6,12670000000,100000000,100000000,910300000,910300000,,1,,,6,,,,1142000000,,,,,,13463098918,750000000,9,9,0,126.7,126.7,13.91848841,13.91848841,11.42,11.42,1.254531473,1.254531473,1212117.177,998668.4421,133155.7923,11111111.11,101144444.4,0.666666667,,110963.1602,Yes
Outlier,https://www.crunchbase.com/organization/outlier,Less than $1M,"Analytics, Business Intelligence, Data Visualization, Developer Tools, Software","1,551",Outlier offers analytic solutions that enable businesses to make better decisions.,Closed,2015,For Profit,2022,https://twitter.com/outlierai,40,,,https://www.linkedin.com/company/outlier-ai/,,https://www.facebook.com/outlierai,,,help@outlier.ai,,,"Oakland, California, United States",(914)662-9588,"Outlier offers analytic solutions that enable businesses to make better decisions. Moreover, Outlier monitors business data and notifies the user when unexpected changes occur.",,http://outlier.ai/,,"Data and Analytics, Design, Information Technology, Software",,Series B,31,M&A,2,2020,Series B,6,,22100000,22100000,37858765,37858765,Was Acquired,3,SoundCommerce,https://www.crunchbase.com/organization/soundcommerce,,Acquisition,,2022,,Private,,,,,500000,,7,,,,,,,,,,1221250.484,16129.03226,712903.2258,,,,,"Software, Developer Tools, Data Visualization",Technology & Software,,Health Catalyst,,,,,,,,,,,168,,,,,,,,,,1,,,,1,,1,,1,,3001,,3,,,14,1275000000,2500000,2500000,357994000,642994000,,5,,,10,,,,182000000,,,,,,1371235823,75000000,11,11,-5,510,510,1.982911194,3.561512204,72.8,72.8,0.283050853,0.508388409,214259.9134,24991.66944,833.0556481,227272.7273,58454000,1.272727273,,2271.969949,Yes
Katerra,https://www.crunchbase.com/organization/katerra,$50M to $100M,"Construction, Manufacturing, Supply Chain Management","1,726","Katerra is a developer of a construction technology platform to optimize aspects of building development, design, and construction.",Closed,2015,For Profit,,https://www.twitter.com/katerrainc,51,,,https://www.linkedin.com/company/katerra-inc-,,https://www.facebook.com/katerrainc,,1,Info@Katerra.com,,,"Menlo Park, California, United States",650-422-3572,"Katerra is a technology company optimizing every aspect of building development, design, and construction. The global team includes leaders in design, software and building engineering, manufacturing, supply chain, and construction. Katerra has a growing number of domestic and international offices, factories, and building projects.",,https://katerra.com,,"Manufacturing, Real Estate, Transportation",,Venture - Series Unknown,7501,,3,2021,Venture - Series Unknown,12,,200000000,200000000,1648170844,1648170844,Made Acquisitions,3,,,3,,,,,Private,2021,,,,75000000,,,,,,,,,,,,219726.8156,9998.666844,26663.11159,,,,,"Construction, Manufacturing, Supply Chain Management",Manufacturing & Industrial,,Moderna,,,,,,,,,,,932,,,,,,,,,,6,,,,3,,5,,3,,7501,,5,,,14,7565000000,750000000,750000000,2724000000,3731600000,,8,,,1,,,,604000000,,,,,,8285045798,5500000000,8,8,-6,10.08666667,10.08666667,2.027280523,2.777165932,0.805333333,0.805333333,0.161860864,0.221732746,497480.336,733235.5686,99986.66844,93750000,466450000,1.75,,91654.44607,Yes
Ebury,https://www.crunchbase.com/organization/ebury,$10M to $50M,"Business Development, Finance, Financial Exchanges, Financial Services, FinTech, Payments","2,139",Ebury is a financial services company designed to empower small and medium-sized businesses that want to trade internationally.,Closed,2009,For Profit,2019,https://twitter.com/EburyUK,91,,2,https://www.linkedin.com/company/ebury/,,https://www.facebook.com/eburypublishing/,,,info@ebury.com,,2,"London, England, United Kingdom",+44 0 20 3872 6670,"Ebury is designed to empower small and medium-sized businesses that want to trade internationally. With Ebury’s integrated financial services and technology, small and mid-size companies can make and receive payments in foreign currencies, enjoy better exchange rates, use emerging-market currencies, hedge currency risk, benefit from liquidity, and finance transactions in more than 100 currencies, easily with a managed service. In addition, its white-label products are offered via brokers and accountants.  Ebury is a growing financial services companies, employing more than 170 people across offices in London, Madrid, and Amsterdam. Its clients include more than 3,000 mid-size companies. It is regulated by the Financial Conduct Authority.",,https://www.ebury.com/,1,"Financial Services, Lending and Investments, Payments, Professional Services",,Venture - Series Unknown,3001,M&A,2,2017,Venture - Series Unknown,8,,,,123532666,123532666,"Made Acquisitions, Was Acquired",5,Santander,https://www.crunchbase.com/organization/banco-santander,3,Acquisition,450856627,2019,,Private,,,2022,,30000000,,10,,,,,,,,,,41163.83406,9996.667777,,,,,,"Financial Services, Financial Exchanges, Payments",Financial Services & Fintech,,BioNTech,,,,,,,,,,,652,,,,,,,,,,5,,,,3,,5,,3,,7501,,3,,,10,3393000000,145000000,145000000,1286164024,1886003260,,8,,,4,,,,150000000,,,,,,3649100508,5500000000,11,11,-5,23.4,23.4,1.799042489,2.63807721,1.034482759,1.034482759,0.079533267,0.116625871,251433.5769,733235.5686,19330.7559,13181818.18,171454841.8,0.909090909,,66657.77896,Yes
