Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,Predicted IPO Status,success
Court Buddy,https://www.crunchbase.com/organization/court-buddy,Less than $1M,"Consulting, Consumer, Information Technology, Legal, Marketplace, Messaging, Mobile, Software",24259,Court Buddy instantly matches consumers with solo attorneys based on budget.,Closed,2016,For Profit,,https://twitter.com/courtbuddyinc,106,,,https://www.linkedin.com/company/4864077,,https://www.facebook.com/courtbuddyinc,,,info@courtbuddy.com,,,"San Francisco, California, United States",866-653-3017,"Court Buddy instantly matches consumers with solo attorneys based on budget. Winner of the 2017 American Bar Association’s Legal Access Award, President Obama and Shark Tank's Daymond John's American Entrepreneurship Award, and named the “Priceline For Legal Services” by the Huffington Post, Court Buddy is a legal tech platform that instantly matches people with vetted solo attorneys based on the client’s budget for a-la-carte legal services at flat rates. Once matched, clients can instant message, video chat or call their attorney matches using the ‘CourtBuddy Chat’ app, and instantly make secured payments to attorneys for the legal services through ‘CB Direct Pay’.",,,,"Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Professional Services, Software",,Series A,31,Early Stage Venture,2,2018,Series A,7,,6000000,6000000,7100000,7262500,,3,,,,,,,,0,,,,,500000,,,,,,,,,,,,234274.1935,16129.03226,193548.3871,,,,,"Software, Mobile, Messaging",Technology & Software,0,no
Gaming Innovation Group,https://www.crunchbase.com/organization/gaming-innovation-group,$100M to $500M,"B2B, Cloud Data Services",16419,Gaming Innovation Group offers cutting-edge Cloud based services and Performance Marketing through its 3 B2B products.,Active,2008,For Profit,2019,,147,,,https://www.linkedin.com/company/gig-gaming-innovation-group/?originalSubdomain=in,,https://www.facebook.com/GamingInnovationGroup/,Venture Capital,,,,1,"Bokeelia, Florida, United States",(239)282-0563,"Gaming Innovation Group offers cutting-edge Cloud based services and Performance Marketing through its 3 B2B products. Owns 7 B2C gambling products, offering games from the best-of-breed suppliers across the online sports betting and casino industry. ",,https://www.gig.com/,1,"Information Technology, Internet Services, Other",,Post-IPO Debt,751,IPO,2,2024,Post-IPO Equity,4,,16100242,20414,12066649,28166891,Made Acquisitions,2,,,11,,,,,1,,Growing,2023,2019,300000000,11,11,-5,,,,,,,,,37505.84687,399467.3768,21438.40479,1463658.364,2560626.455,0.363636364,36315.21608,"B2B, Cloud Data Services",Technology & Software,1,yes
atSpoke,https://www.crunchbase.com/organization/spoke-6,$1M to $10M,Software,30174,atSpoke is a modern internal ticketing system.,Closed,2016,For Profit,2021,https://www.twitter.com/atspoke,6,,,https://www.linkedin.com/company/atspoke,,https://www.facebook.com/atspoke,,,,,,"San Francisco, California, United States",,"atSpoke helps everyone work smart and fast with modern, seamless internal ticketing. Employees get immediate, convenient, and personalized access to internal knowledge and support. IT, HR, and Support teams deliver high quality service and maintain accountability while easily scaling to meet demands.",,https://www.atspoke.com/,,Software,,Series B,31,M&A,2,2017,Series B,2,,20000000,20000000,28000000,28000000,Was Acquired,2,Okta,https://www.crunchbase.com/organization/okta,,Acquisition,,2021,,0,,,,,5500000,,5,,,,,,,,,,903225.8065,177419.3548,645161.2903,,,,,Software,Technology & Software,0,no
Box,https://www.crunchbase.com/organization/box,$500M to $1B,"Cloud Computing, Enterprise Software, File Sharing, Flash Storage, Web Hosting",325,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.",Active,2005,For Profit,2015,https://twitter.com/box,5457,"Exited Unicorn, Pledge 1%",,https://www.linkedin.com/company/box,,http://www.facebook.com/box,,,sales@box.com,,1,"Redwood City, California, United States",1(877) 729-4269,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls. Box provides more than 8 million users with secure cloud content management and collaboration. Box platform ""allows personal and commercial content to be accessible, sharable, and storable in any format from anywhere."" It also helps businesses of all sizes in every industry securely access and manages their critical information in the cloud.",1,http://www.box.com,1,"Hardware, Internet Services, Software",1,Post-IPO Equity,3001,IPO,4,2021,Post-IPO Equity,14,1670000000,500000000,500000000,1058950000,1058950000,Made Acquisitions,8,,,15,,,,175000000,1,,,2023,2015,750000000,10,10,-6,3.34,3.34,1.577033854,1.577033854,0.35,0.35,0.165258039,0.165258039,352865.7114,249916.6944,166611.1296,50000000,105895000,1.4,24991.66944,"File Sharing, Flash Storage, Cloud Computing",Technology & Software,1,yes
View,https://www.crunchbase.com/organization/view-inc,$100M to $500M,"Artificial Intelligence (AI), Smart Building, Software, Sustainability",1440,View is a smart building technology company that produces smart windows that adjusts in response to external conditions.,Active,2007,For Profit,2021,https://twitter.com/view_inc_,180,Exited Unicorn,,https://www.linkedin.com/company/viewinc,,https://www.facebook.com/Viewinc,,,info@view.com,,,"Milpitas, California, United States",(408) 263-9200,"View is the leader in smart building technologies that transform buildings to improve human health and experience, reduce energy consumption and carbon emissions, and generate additional revenue for building owners. View Smart Windows use artificial intelligence to automatically adjust in response to the sun, increasing access to natural light and unobstructed views while eliminating the need for blinds and minimizing heat and glare. Every View installation includes a cloud-connected smart building platform that can be extended to reimagine the occupant experience. View is installed and designed into over 90 million square feet of buildings, including offices, hospitals, airports, educational facilities, hotels, and multifamily residences.",,https://www.view.com,,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software, Sustainability",,Post-IPO Debt,751,IPO,2,2023,Post-IPO Equity,20,1600000000,50000000,500000000,2244885500,2565451247,Made Acquisitions,9,,,1,,,,500000000,1,2023,,,2021,300000000,14,14,-2,32,3.2,0.623671957,0.712731228,10,1,0.194897487,0.222728509,3416046.933,399467.3768,66577.89614,3571428.571,183246517.6,1.428571429,28533.38406,"Smart Building, Sustainability, Software",Technology & Software,1,yes
Unity,https://www.crunchbase.com/organization/unity-technologies,$1B to $10B,"Augmented Reality, Developer Platform, Metaverse, Mobile Apps, Virtual Reality",24596,Unity provides multiplatform tools and services to developers of interactive content.,Active,2004,For Profit,2021,http://twitter.com/unity3d,1418,Exited Unicorn,1,http://www.linkedin.com/company/unity-technologies,,http://www.facebook.com/unity3d,,1,info@unity3d.com,,2,"San Francisco, California, United States",+1 (415) 539-3162,"Unity Technologies provides multiplatform tools and services to developers of interactive content. It is the creator of the real-time 3D development platform, giving users powerful and accessible tools to create, operate, and monetize experiences for the real-time world. Unity empowers anyone, regardless of skill level and industry, to create 3D visual content using technology, operate using resources that maximize ease-of-use, and monetize, so that they can find success with their creations. In 2004, David Helgason, Joachim Ante, and Nicholas Francis launched Unity Technologies in San Francisco, California.",,https://unity.com,2,"Apps, Hardware, Media and Entertainment, Mobile, Software",,Post-IPO Debt,7501,IPO,3,2023,Undisclosed,15,,1000000000,,776800000,2301800000,Made Acquisitions,5,,,26,,,,,1,2024,,2024,2021,5500000000,17,17,-2,,,,,,,,,306865.7512,733235.5686,133315.5579,58823529.41,135400000,0.882352941,43131.50403,"Virtual Reality, Mobile Apps, Metaverse",Technology & Software,1,yes
Digital Realty,https://www.crunchbase.com/organization/digital-realty-trust,$1B to $10B,"3D Technology, Analytics, Data Center, Digital Media, Finance, Mobile, Social Media",2373,"Digital Realty is a data center platform, delivering customized data analysis solutions to businesses.",Active,2004,For Profit,2004,http://twitter.com/digitalrealty,511,,2,http://www.linkedin.com/company/digitalrealty,,http://www.facebook.com/digitalrealty,,,customersuccessteam@digitalrealty.com,,3,"Austin, Texas, United States",+1 737 281 0101,"Digital Realty Trust is a wholesale data center provider, delivering customized data analysis solutions to businesses such as financial services, IT, and internet enterprises. The company provides Turn-Key Datacenters and custom data center solutions for domestic and international customers. Digital Realty Trust’s over 100 properties are located across 30 markets throughout Europe, North America, Asia, and Australia. It was founded in 2004 by Rick Magnuson and is headquartered in San Francisco, C.A.",3,http://www.digitalrealty.com,3,"Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Media and Entertainment, Mobile, Software",3,Post-IPO Equity,3001,IPO,3,2024,Post-IPO Equity,6,,1470000000,1470000000,2820000000,3990810427,Made Acquisitions,,,,6,,,,,1,,,2023,2004,5500000000,0,0,-20,,,,,,,,,1329826.867,1832722.426,489836.7211,,,,,"Data Center, Digital Media, Social Media",Technology & Software,1,yes
Phreesia,https://www.crunchbase.com/organization/phreesia,$100M to $500M,"Health Care, Hospital, Information Technology, Medical",4782,Phreesia automates the patient check-in process by collecting personal health information on the PhreesiaPad.,Active,2005,For Profit,2019,http://twitter.com/phreesia,105,,,https://www.linkedin.com/company/phreesia,,http://www.facebook.com/Phreesia,,1,info@phreesia.com,,,"Wilmington, Delaware, United States",+1 888 654-7473,"Phreesia is a privately held company focused on patient check-in. The company replaces the outdated patient clipboard in physician offices with a free wireless touch screen and swipe card enabled PhreesiaPad. Phreesia automates the patient check-in process by collecting personal health information on the PhreesiaPad from the patient in a secure and HIPAA-compliant fashion. The product is designed to interface with physicians' existing and future technology and is compatible with electronic medical records (EMRs) Phreesia does not require any changes to the physician workflow and captures comprehensive patient information that can automatically be printed to reports for administrative and clinical staff. The company also improves the patient experience by better preparing them for their appointments, offering up-to-date health education relevant to their medical concerns, and enabling them to verify, rather than re-enter, information recorded at previous visits to the medical practice.  The company draws on the expertise of a leading Medical Advisory Board and has initiated a series of patient care initiatives that concentrate on both wellness and disease prevention. The company is backed by premier venture capital firms and has received $13.25 million in financing to date.",,http://www.phreesia.com,,"Health Care, Information Technology",,Venture - Series Unknown,3001,IPO,3,2017,Venture - Series Unknown,8,603500000,16999997,16999997,112649997,112649997,Made Acquisitions,6,,,4,,,,167000000,1,,Growing,2024,2019,300000000,14,14,2,35.50000626,35.50000626,5.357301519,5.357301519,9.823531145,9.823531145,1.48246786,1.48246786,37537.4865,99966.67777,5664.777408,1214285.5,8046428.357,0.571428571,7140.476984,"Information Technology, Health Care, Medical",Technology & Software,1,yes
Hubble,https://www.crunchbase.com/organization/hubble-8329,,"Cloud Management, Information Technology, Legal Tech, Software, Task Management",33194,Cloud-based software specialized for contracts and other legal documents,Closed,2016,For Profit,,https://twitter.com/HubbleDocs,,,,,,https://www.facebook.com/hubble.team/,,,contact@hubble-inc.jp,,,"Tokyo, Tokyo, Japan",,Cloud-based software specialized for contracts and other legal documents,,https://corporate.hubble-docs.com/,,"Information Technology, Internet Services, Professional Services, Software",,Series A,31,Early Stage Venture,2,2022,Series A,4,,5253480,5253480,6661045,6661045,,2,,,,,,,,0,,,,,,,,,,,,,,,,,214872.4194,,169467.0968,,,,,"Software, Cloud Management, Legal Tech",Technology & Software,0,no
sp0n,https://www.crunchbase.com/organization/sp0n,Less than $1M,"Consumer Applications, Public Safety, Software",22189,sp0n develops an application that lists those calls that are a threat to public safety.,Closed,2015,For Profit,,,,,,https://www.linkedin.com/company/citizen.com,,,,,,,,"Manhattan, New York, United States",,"sp0n is an early-stage tech startup, backed by top-tier Silicon Valley venture capital, based in Downtown Manhattan. sp0n's mission is to keep people safe and informed.",,http://www.sp0n.com,,"Apps, Government and Military, Software",,Series B,76,Early Stage Venture,2,2021,Series B,2,,72687675,72687675,84687675,84687675,,1,,,,,,,,0,,,,,500000,,,,,,,,,,,,1114311.513,6578.947368,956416.7763,,,,,"Consumer Applications, Public Safety, Software",Technology & Software,0,no
